Country,Continent
South Africa,Africa
Liechtenstein,Eurasia
Hungary,Eurasia
Turkey,Eurasia
Ukraine,Eurasia
Finland,Eurasia
Bulgaria,Eurasia
Italy,Eurasia
Poland,Eurasia
Austria,Eurasia
Philippines,Eurasia
Singapore,Eurasia
Japan,Eurasia
Netherlands,Eurasia
Estonia,Eurasia
Czechia,Eurasia
Portugal,Eurasia
India,Eurasia
Latvia,Eurasia
Lithuania,Eurasia
Hong Kong,Eurasia
Taiwan,Eurasia
Russia,Eurasia
Romania,Eurasia
San Marino,Eurasia
Malaysia,Eurasia
Iceland,Eurasia
Greece,Eurasia
Sweden,Eurasia
Norway,Eurasia
Israel,Eurasia
Indonesia,Eurasia
Switzerland,Eurasia
Ireland,Eurasia
Belgium,Eurasia
Denmark,Eurasia
Moldova,Eurasia
Monaco,Eurasia
United Kingdom,Eurasia
Slovakia,Eurasia
Croatia,Eurasia
Germany,Eurasia
Thailand,Eurasia
France,Eurasia
South Korea,Eurasia
Spain,Eurasia
Gibraltar,Eurasia
Canada,North America
Costa Rica,North America
Guatemala,North America
Honduras,North America
Mexico,North America
United States,North America
Argentina,Sourth America
Bolivia,Sourth America
Brazil,Sourth America
Chile,Sourth America
Colombia,Sourth America
Ecuador,Sourth America
Paraguay,Sourth America
Peru,Sourth America
Uruguay,Sourth America
Venezuela,Sourth America
Australia,Australia and Oceania
New Zealand,Australia and Oceania
